Date,Sample,Week ,Rep,Conditions,Farm,Variety,Location ,Hemp_type,Crop uses,Plant Stage,Plant height_cm,Insect damage,Type of damage,Tissue damaged,Damage level,Hemp_aph,Green_aph,Other_aph,HLThoppers,Fhoppers,BLhop,GLhop,UK_Leafhop_ad,Damsell_bug,Podisus_m,Wheel_bug ,Total MPB,Miridae_planbugs,Tarnished_pb,Stink_b,Whiteflies,UK_Hemiptera ,Pred_thrips,Soybthr, Brown_Thr,yellow_thr,UK_thrips,Pink_LB,Harm_axy,Checker_LB,Tiny_LB,Uk_LB,Lampirids,Staphilinids,Carabids, FB_Altica ,FB_Crep,UK_FB,UK_herb_ beetles,Elaterids,Weevils,Diabrotica,Japanese_b ,Crab_sp,Jump_SP,Sac_sp,orbwev_sp,UK_spiders,Harvestmen Opiliones,UK_Caterp ,Tussock moth,Arctids,Corn_EW,Eupitecia_sp,Hooverfly,leafminer,Fruit_flies,gnats,Crane_fly,House fly,UK_flies,Ants ,Parasitic_wasp,Pollinators ,Lacewings,grasshopper,cricket,otherinsects 
23-Jun-22,LM25,2,10,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,20.4,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-22,LM26,2,11,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,28.5,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-22,LM27,2,12,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,27.8,Y,Chew,leaf,low,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-22,LM28,2,13,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,19.3,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-22,LM29,2,14,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,29.5,Y,Scrape,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun-22,LM30,2,15,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,38,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM31,3,1,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,46,Y,Chew,leaf,low,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM32,3,2,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,16.3,N,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM33,3,3,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,43.5,N,NA,NA,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30-Jun-22,LM34,3,4,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,39.3,N,NA,NA,NA,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM35,3,5,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,50,Y,Chew scrape,leaf,low,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM36,3,6,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,34.5,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM37,3,7,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,54,Y,Chew scrape,leaf,low,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
30-Jun-22,LM38,3,8,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,35,Y,Chew,leaf,low,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM39,3,9,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,37.5,N,NA,NA,NA,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30-Jun-22,LM40,3,10,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,42,Y,Chew,leaf,low,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM41,3,11,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,37.5,Y,Chew,leaf,low,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM42,3,12,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,43.5,Y,Chew,leaf,low,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30-Jun-22,LM43,3,13,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,20.5,Y,Scrape,leaf,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM44,3,14,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,31,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jun-22,LM45,3,15,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM46,4,1,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,65.6,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM47,4,2,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30.2,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM48,4,3,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,25.8,N,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM49,4,4,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,55.4,Y,Chew scrape,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM50,4,5,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,48,Y,Chew,leaf,low,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM51,4,6,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,65.6,Y,Chew scrape,leaf,low,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM52,4,7,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,43,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM53,4,8,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,42.6,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM54,4,9,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,56,Y,Chew,leaf,low,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM55,4,10,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,61.5,Y,Chew scrape,leaf,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM56,4,11,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,34,Y,Chew mining,leaf,low,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM57,4,12,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,51,Y,Chew scrape,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM58,4,13,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,36,Y,Chew scrape,leaf,low moderate,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM59,4,14,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,26.5,Y,Chew scrape,leaf,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Jul-22,LM60,4,15,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,53.8,Y,Chew,leaf,low,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul-22,LM61,5,1,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,flowering,73.2,Y,Chew scrape,leaf,low,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul-22,LM62,5,2,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,flowering,75,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul-22,LM63,5,3,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,flowering,29.3,Y,Chew,leaf,low,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
